student_id,student_class,board,school_type,district,aggregate_percentage,annual_family_income,budget_for_education,travel_radius_km,needs_hostel,needs_scholarship,gender,caste_category,mark_math,mark_science,mark_social,mark_english,mark_regional_language,apt_logical,apt_verbal,apt_quantitative,apt_social,apt_creative,apt_technical,interest_mathematics,interest_biology,interest_computers,interest_sports,interest_arts,interest_music,interest_social_service,interest_business,interest_nature,interest_writing,interest_politics,interest_cooking,interest_electronics,interest_farming,interest_healthcare,interest_teaching,target_stream,target_course,target_career_cluster,mark_core_subject_1,mark_core_subject_2,mark_elective_1,mark_elective_2
1,10,CBSE,government,Trichy,63.5,89087,114104,30,False,False,Other,OBC,73.9,67.3,49.4,65.3,61.7,71.1,47.6,64.9,52.5,68.1,80.4,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,Science,BSc Chemistry,Science & Research,,,,
2,10,CBSE,private,Tirunelveli,64.0,53605,164901,20,True,True,Other,OBC,61.1,67.4,66.7,56.1,68.5,66.4,58.5,64.5,64.8,58.7,67.8,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,Vocational,Animation Diploma,Arts & Media,,,,
3,10,CBSE,private,Trichy,75.9,100524,54324,20,False,True,Male,OBC,62.7,76.6,79.3,77.4,83.6,56.7,74.5,66.3,64.3,57.5,37.8,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,Commerce,Hotel Management,Business & Finance,,,,
4,12,State Board,government,Perambalur,67.2,202486,276363,75,True,True,Female,SC,,,,53.8,,41.2,72.1,77.6,59.5,43.7,45.0,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,Commerce,BBA,Business & Finance,67.1,77.0,70.1,68.1
5,12,CBSE,government,Madurai,64.6,49646,108045,75,False,True,Male,General,,,,63.1,,80.5,34.8,59.0,65.1,47.8,74.2,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,Science,Pharmacy (BPharm),Healthcare & Medicine,73.1,60.7,52.8,73.1
6,10,Matriculation,private,Trichy,46.5,49647,82110,20,False,True,Male,General,61.1,39.1,46.3,44.9,40.9,73.9,37.3,76.7,54.2,45.5,84.4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Science,Nursing (BSc),Healthcare & Medicine,,,,
7,10,Matriculation,government,Kanchipuram,87.8,211794,73133,10,False,True,Other,OBC,90.9,88.5,91.4,84.9,83.1,61.4,94.2,28.8,75.3,80.6,22.4,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,Arts,BA Economics,Business & Finance,,,,
8,10,State Board,government,Salem,87.0,110630,204790,30,False,False,Male,General,66.1,83.5,96.0,99.5,90.1,70.8,60.2,60.5,57.2,38.4,51.4,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,Commerce,BCom Computer Apps,Engineering & Technology,,,,
9,10,ICSE,private,Villupuram,72.2,41127,69043,100,False,True,Female,ST,78.8,87.8,59.0,71.9,63.7,68.8,73.4,75.9,45.5,69.1,85.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Science,BSc Physics,Science & Research,,,,
10,10,ICSE,government,Vellore,65.2,92415,203411,30,False,False,Female,ST,61.3,70.0,73.7,62.2,58.9,88.4,64.4,85.3,42.9,61.7,68.6,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,Science,BSc Chemistry,Science & Research,,,,
